source,headline,url,content,date_scraped
www.nytimes.com,Weather,,,2025-03-22 00:34:44
www.npr.org,Climate,https://www.npr.org/sections/climate,"Responding to disasters like Hurricane Helene in North Carolina takes thousands government workers and millions of dollars, something states rely on the federal government for.Mario Tama/Getty Images/Getty Images North Americahide caption March 21, 2025 •President Trump says he's thinking of getting rid of the country's disaster response agency, FEMA. States say they can't replicate what FEMA does on their own.",2025-03-22 00:35:03
www.npr.org,Education,https://www.npr.org/sections/education/,"Healy Hall, the flagship building of Georgetown University's main campus in Washington, D.C., is seen in 2011.Mladen Antonov/AFP via Getty Imageshide caption March 21, 2025 •The Indian national and postdoctoral fellow is the latest scholar detained or deported by the Trump administration for speaking in support of Palestinian rights or criticizing Israel's actions in Gaza.",2025-03-22 00:35:05
www.npr.org,Climate,https://www.npr.org/sections/climate,"Responding to disasters like Hurricane Helene in North Carolina takes thousands government workers and millions of dollars, something states rely on the federal government for.Mario Tama/Getty Images/Getty Images North Americahide caption March 21, 2025 •President Trump says he's thinking of getting rid of the country's disaster response agency, FEMA. States say they can't replicate what FEMA does on their own.",2025-03-22 00:35:08
www.npr.org,Analysis,https://www.npr.org/sections/analysis/,"A demonstrator holds a sign that reads ""Remember Budapest Memorandum 1994"" during a protest outside the embassy of the United States of America in Warsaw, Poland earlier this month.NurPhoto/Gettyhide caption March 21, 2025 •Representatives from Russia and Ukraine will be in meetings to try to hammer out details of a ceasefire on Monday. But peace is still a long way off.",2025-03-22 00:35:12
www.npr.org,Politics,https://www.npr.org/sections/politics/,"President Donald Trump gestures to U.S. Chief Justice John Roberts after his swearing-in ceremony in the Rotunda of the U.S. Capitol on Jan. 20.Chip Somodevilla/Getty Imageshide caption March 21, 2025 •Here are five takeaways from a week when President Trump moved ahead with deportations and sweeping changes to the federal government — and ran into obstacles in the courts.",2025-03-22 00:35:14
www.npr.org,Music,https://www.npr.org/music,"Jean-Yves Thibaudet performs a Tiny Desk concert at NPR Music in Washington, D.C.hide caption The famed Frenchman brings all his elegance and colorful playing to music by Ravel, Brahms and Villa-Lobos. Jean-Yves Thibaudet performs a Tiny Desk concert at NPR Music in Washington, D.C.hide caption",2025-03-22 00:35:17
www.npr.org,"Columbia bows to Trump administration, hoping to restore federal funding",https://gothamist.com/news/columbia-bows-to-trump-administration-hoping-to-restore-federal-funding,"Columbia University bowed to many of President Donald Trump’s demands on Friday in a bid to restore$400 million in federal funding. Columbia's interim President Katrina Armstrong announced she will ban masks on campus, with exemptions for health or religious reasons, train three-dozen campus police officers with authority to arrest people, and appoint a new senior vice provost who will conduct a “thorough review” of the Middle East studies department. The moves came amid unprecedented pressure on the Ivy League university from the White House. Earlier this month, the federal education department moved to terminate $400 million in federal funding for Columbia, citing what it called ""relentless violence, intimidation and antisemitic harassment"" on campus. Federal education officials then sent Columbia a detailed list of demands for the funding to be restored. A pro-Palestinian student protest movement disrupted campus life at Columbia after Hamas’ Oct. 7 attacks in Israel, and the start of Israel’s war in Gaza. Many of the student protesters have worn masks, citing a fear ofonline harassment or doxxing. The federal demands were met with alarm by many in academia, who feared that they would stifle thefree discussion of ideasthat is central to higher education. As part of the new announcement, Columbia wrote on its website that it would develop new coursework for Middle East studies and embark on a “larger mapping” of offerings to ensure they adhere to standards of “excellence and fairness.” The effort will involve the new senior vice provost, who will also have authority over the Center for Palestine Studies, the Institute for Israel and Jewish Studies, South Asian studies and African studies. “The way Columbia and Columbians have been portrayed is hard to reckon with. We have challenges, yes, but they do not define us,” Armstrong wrote. “At all times, we are guided by our values, putting academic freedom, free expression, open inquiry, and respect for all at the fore of every decision we make.”",2025-03-22 00:35:19
www.npr.org,"George Foreman, the glowering heavyweight who became a lovable champion, dies at 76",https://www.npr.org/2025/03/22/g-s1-55292/george-foreman-heavyweight-champion-dies-at-76,"By The Associated Press Former heavyweight champion George Foreman has hit glove lifted into the air after referee Al Munoz gave Foreman the victory in his heavyweight fight against Bert Cooper in Phoenix, on June 2, 1989.Jeff Robbins/AP Photohide caption George Foreman, the fearsome heavyweight who lost the ""Rumble in the Jungle"" to Muhammad Ali before his inspiring second act as a 45-year-old champion and a successful businessman, died Friday night. He was 76. Foreman's family announced his death on social media. ""A devout preacher, a devoted husband, a loving father, and a proud grand- and great-grandfather, he lived a life marked by unwavering faith, humility and purpose,"" his family wrote. ""A humanitarian, an Olympian and two-time heavyweight champion of the world, he was deeply respected. A force for good, a man of discipline, conviction, and a protector of his legacy, fighting tirelessly to preserve his good name— for his family."" A native Texan, Foreman began his boxing career as an Olympic gold medalist who inspired fear as he climbed to the peak of the heavyweight division by stopping Joe Frazier in 1973. His formidable aura evaporated only a year later when Ali pulled off one of the most audacious victories in boxing history in Zaire, baiting and taunting Foreman into losing his belt in one of the greatest fights ever staged. Foreman left the sport a few years later, but returned after a 10-year absence and a self-described religious awakening. He then pulled off one of the most spectacular knockouts in boxing history in 1994, flooring Michael Moorer — 19 years his junior — with one perfect combination to claim Moorer's two heavyweight belts. Foreman's transformation into an inspirational figure was complete, and he fought only four more times before moving onto his next career as a genial businessman, pitchman and occasional actor. He was best known as the face of the George Foreman Grill, a simple cooking machine which sold more than 100 million units and made him much wealthier than his sport ever did. ""George was a great friend to not only myself, but to my entire family,"" Top Rank president Bob Arum said. ""We've lost a family member and are absolutely devastated."" In the first chapter of his boxing career, Foreman was nothing like the smiling grandfather who hawked his grills on television to great success. Foreman dabbled in petty crime while growing up in Houston's Fifth Ward, but changed his life through boxing as a teenager. He made the U.S. Olympic team in 1968 and won gold in Mexico City, stopping a 29-year-old opponent in a star-making performance. Acting heavyweight world champion George Foreman gimmicks with a playful punch closing an eye, as he arrives at the airport in Hamburg, Germany, on February 7, 1995.Michael Probst/AP Photohide caption Foreman rose to the pinnacle of the pro game over the next five years, but was perceived as an aloof, unfriendly athlete, both through his demeanor and through the skewed racial lenses of the time. He stopped Frazier in an upset in Jamaica in January 1973 to win the belt, with his knockout inspiring Howard Cosell's iconic call: ""Down goes Frazier! Down goes Frazier!"" Foreman defended his belt against Ken Norton before accepting the fight with Ali in the now-immortal bout staged in Africa by promoter Don King. Ali put on a tactical masterclass against Foreman, showing off the ""rope-a-dope"" strategy that frustrated and infuriated the champion. Foreman was eventually knocked down for the first time in his career, and the fight was stopped in the eighth round. Exhausted and disillusioned, Foreman stopped fighting in 1977 and largely spent the next decade as a preacher after his religious awakening. He returned to boxing in 1987 in his late 30s, and he racked up a lengthy series of victories before losing to Evander Holyfield in a title fight in 1991. Three years later, Foreman got in the ring with Moorer in Las Vegas. Moorer appeared to win the first nine rounds rather comfortably, with Foreman unable to land his slower punches. But Foreman came alive in the 10th, hurting Moorer before slipping in the short right hand that sent Moorer to the canvas in spectacular fashion.Foreman quit the ring for good in 1997, although he occasionally discussed a comeback. He settled into a life as a boxing analyst for HBO and as a pitchman for the grills that grew his fame and fortune. A biographical movie based on his life was released in 2023. Foreman had 12 children, including five sons who are all famously named George Edward Foreman. ""Legendary boxing champion, life-changing preacher, husband, father, grand- and great-grandfather and the best friend you could have,"" WBC President Mauricio Sulaiman wrote on social media. ""His memory is now eternal, may Big George rest in peace.""",2025-03-22 00:35:21
www.npr.org,Voice of America staff sue Trump administration for shutting down network,https://www.npr.org/2025/03/21/nx-s1-5336351/voice-of-america-trump-lawsuit-kari-lake-voa,"David Folkenflik Staff at the government broadcaster Voice of America have filed a lawsuit against the Trump administration, which put nearly 900 employees on leave and froze funding last week.BONNIE CASH/AFP via Getty Images/AFPhide caption Six Voice of America journalists sued Kari Lake and the Trump administration on Friday, alleging their moves to shut down the U.S.-funded network were unlawful and unconstitutional. The journalists say that the government's acts violate their First Amendment rights on free speech grounds and usurp the U.S. Congress's control of the power of the federal purse. More than 900 full-time network employees were placed on indefinite leave last weekend; 550 contractors were terminated from their jobs. Most employees at the federal parent, U.S. Agency for Global Media, were also placed on indefinite leave. The lead plaintiffs include Patsy Widakuswara, until recently Voice of America's White House bureau chief and Jessica Jerreat, its press freedom editor. Four other journalists sued anonymously as John Does. Kathryn Neeper, thedirector of strategy and performance assessmentat the U.S. Agency for Global Media, is also a named plaintiff. She was also placed on leave. Few Voice of America journalists are known inside the U.S.; the network is prohibited from broadcasting to American audiences. Nonetheless, Widakuswara made headlines twice: First in pressing Trump's then-Secretary of State Mike Pompeo in early 2021 over the siege of the U.S. Capitol and, earlier this month, in asking Irish Taoiseach Micheál Martin about ""the president's plans to expel Palestinians from Gaza"" at an appearance with President Trump at the White House. Irritated, Trump asked Widakuswara what outlet she worked for. Upon hearing the answer, he replied, ""No wonder,"" and called on another reporter. Lake is Trump's special adviser overseeing USAGM. ""Waste, fraud, and abuse run rampant in this agency and American taxpayers shouldn't have to fund it,""Lake said in announcing the moves last weekend. The effect was to shut Voice of America down. The most recent stories on its home page and its audio headlines feed are a week old; live streaming services are unavailable. The suit, which additionally names acting USAGM Chief Executive Victor Morales as a defendant, seeks immediate reinstatement of all full-time staffers and contractors. It points to regulations and law which specify a firewall to insulate Voice of America and the other international networks funded by the agency from political tampering. Those measures are intended to ensure their professionalism. ""Tragically, Kari Lake lives in the MAGA fantasy world, but she makes decisions that have real-world consequences for hundreds of journalists,"" said David Seide, the lead attorney on the suit. Seide is senior counsel at the Government Accountability Project, a non-profit that seeks to protect the rights of whistleblowers. ""We've assembled a coalition of journalists, unions, and advocacy groups to stop and reverse the DOGE machine,"" Seide added. Among the other backers of the suit are the press-rights group Reporters Without Borders and unions representing federal employees, journalists, and foreign policy staffers. Lake gave this one-sentence reply to a request for comment for this story: ""Kari Lake does not grant interviews or interact with disreputable 'news' outlets like NPR."" She has not responded to prior efforts seeking interviews. Morales and the agency itself did not respond. Congress has appropriated funds for the Voice of America every year since the broadcaster's founding during World War II. Lawmakers allocated additional money for the broadcaster and other federally funded networks as part of the stopgap spending measure passed last week. In addition to Voice of America, the U.S. Agency for Global Media also oversees Radio/TV Martí, which broadcasts to Cuba. The agency also disburses the money Congress allocates for privately incorporated networks — Radio Free Europe/Radio Liberty, Radio Free Asia, the Middle East Broadcasting Networks — as well as the Open Technology Fund, which propels the open-source tech undergirding Signal and other secure communication programs. The networks are intended to serve as a demonstration of soft power in places without a robust or free press. By providing news that incorporates political debate and dissent inside the U.S., the networks aim to promote and model pluralistic American ideals. According to the agency, the networks together reach more than 420 million people in 63 languages and more than 100 countries each week. They are fully funded by federal dollars. The withholding of federal dollars from the non-profit broadcasters has had immediate repercussions. Radio Free Asia on Friday furloughed three-quarters of its U.S.-based staff as it burns through the remaining money it has; Steve Capus, the chief executive of Radio Free Europe/Radio Liberty toldNPR's Leila Fadel this weekthat without a restoration of funds, the network would face ""pretty drastic actions."" Radio Free Europe/Radio Liberty sued Lakeand the Trump administration earlier this week; the Open Tech Fund filed suit Thursday. Their suits were filed in the District of Columbia; the Voice of America plaintiffs sued in federal court in Manhattan. The lawsuits are a replay of the litigation that ensued during Trump's first term. His pick to run USAGM, Michael Pack, sought to overhaul the agency.His tenure was marked by one controversy after another; a formal federal investigation found that he had abused his powers. Soon after taking office in mid-2020,Pack sought to deny work visasfor foreign nationals employed by the network. In the newest litigation against Lake, Morales and USAGM, two of the unnamed plaintiffs are described as freelance journalists working under contract to VOA. Each is said in the lawsuit to be a foreign national authorized to work in the U.S. under a J-1 visa; their visas will expire on March 31 if their visas are not renewed and the agency is not operational once more. In that case, they would have to return to their home countries. John Doe 3 would return to a nation under rule by an authoritarian regime that has labeled Voice of America a ""subversive organization,"" according to the lawsuit; the plaintiff risks imprisonment for 15 years. John Doe 4 is described as ""a member of the LGBTQ community and is from a home country which persecutes and discriminates against LGBTQ people."" Lake, a former local TV news anchor in Phoenix, ran twice for statewide office in Arizona as a MAGA Republican candidate. She lost both times. Last month, she became a senior adviser to the U.S. Agency for Global Media. Trump initially touted her as the next director of Voice of America but his top budget-slashing adviser, Elon Musk, and other administration officials called for the network to be shut down altogether. Lake has since embraced that charge. ""From top-to-bottom this agency is a giant rot and burden to the American taxpayer—a national security risk for this nation—and irretrievably broken,"" the agencysaid in its release last Saturday. ""While there are bright spots within the agency with personnel who are talented and dedicated public servants, this is the exception rather than the rule.""",2025-03-22 00:35:22
